Id Number,Name,Dob,Email,Type,Department,Course
1111111,Kara Mia,3/10/2002,kara@gmail.com,Student,CCICT,BSIT
1111112,Luz Merci,3/11/2002,luz@gmail.com,Student,CCICT,BSIS
1111113,Sarang Hae,3/12/2002,sarang@gmail.com,Student,CCICT,BSIS
1111114,Pipol Lods,3/13/2002,pipol@gmail.com,Teacher,CCICT,BSIT
1111115,Manny Pacquiao,3/14/1982,manny@gmail.com,Teacher,CCICT,BSIT
1111116,Vice Ganda,3/15/1902,vice@gmail.com,Teacher,CCICT,BSIT
1313348,Mona Lisa,8/20/2002,kylahubahib20@gmail.com,Teacher,CCICT,BSIT
1313562,Green Papaya,11/5/2024,kotarou.ayami@gmail.com,Student,CCICT,BSIT
1919123,Teacher,11/5/1984,teacher@gmail.com,Teacher,CAS,BSBA
1919432,Miss Minchin,11/1/1990,minchin@gmail.com,Teacher,CCICT,BSIS
1313433,Jeylsie Caro,12/5/2001,jeylsie.caro@gmail.com,Student,CAS,BSBA
1313434,Jasmine Diaz,12/5/2001,jasmine@gmail.com,Student,CCICT,BSCS
1313761,Wendy Darling,9/23/2002,wendy@gmail.com,Student,CCICT,BSIT
